,software,categories
4688,Security Gateway,"['Secure Email Gateway', 'Email Anti-spam', 'Cloud Email Security']"
4689,SecurityScorecard,"['Vendor Security and Privacy Assessment', 'Third Party \\u0026 Supplier Risk Management', 'IT Risk Management']"
4690,SecurityTrails API,['DNS Security Solutions']
4691,Securonix Security Operations and Analytics Platform,"['Cloud Security Monitoring and Analytics', 'Network Traffic Analysis (NTA)', 'User and Entity Behavior Analytics (UEBA)', 'Security Orchestration, Automation, and Response (SOAR)', 'Security Information and Event Management (SIEM)', 'Identity Threat Detection and Response (ITDR)']"
4692,Secuvy AI,"['Consent Management Platform (CMP)', 'Privacy Impact Assessment (PIA)', 'Data Subject Access Request (DSAR)', 'Data Privacy Management', 'Data Breach Notification', 'Cookie Tracking', 'Sensitive Data Discovery']"
4693,Sedna,"['Email Management', 'Shared Inbox', 'Email', 'Email Client', 'Employee Communications', 'Business Instant Messaging']"
4694,Seeking Alpha,['Investment Portfolio Management']
4695,Seekwell,"['Customer Data Platform (CDP)', 'Reverse ETL']"
4696,Seeq,"['Manufacturing Intelligence', 'IoT Analytics Platforms', 'Predictive Analytics', 'Time Series Intelligence']"
4697,Seeqle,['Recruitment Marketing']
4698,Seers,"['Privacy Policy Generator', 'Consent Management Platform (CMP)', 'Cookie Tracking', 'Data Breach Notification', 'Privacy Impact Assessment (PIA)', 'Data Subject Access Request (DSAR)']"
4699,Segment,"['Consent Management Platform (CMP)', 'Data Subject Access Request (DSAR)', 'Data Privacy Management', 'Data Governance', 'Customer Data Platform (CDP)', 'E-Commerce Data Integration', 'Reverse ETL']"
4700,Segment SEO,['SEO Services']
4701,Seldon,"['Data Science and Machine Learning Platforms', 'MLOps Platforms']"
4702,Select Star,"['Active Metadata Management', 'Data Governance', 'Machine Learning Data Catalog']"
4703,Selerix,['Benefits Administration']
4704,Selfr,['Data Visualization']
4705,Semantrum,['Media Monitoring']
4706,Semarchy xDM,['Master Data Management (MDM)']
4707,Sematext Cloud,"['Observability Solution Suites', 'Enterprise Monitoring', 'Server Monitoring', 'Log Monitoring', 'Database Monitoring', 'Digital Experience Monitoring (DEM)', 'Website Monitoring', 'Cloud Infrastructure Monitoring', 'IT Alerting', 'Container Monitoring', 'Log Analysis', 'Application Performance Monitoring (APM)', 'Network Monitoring']"
4708,Semrush Content Marketplace,['Content Writing Services']
4709,SenseIoT,['IoT Analytics Platforms']
4710,Sensitive Content Manager,['Board Management']
4711,SensorCloud,"['IoT Device Management Platforms', 'IoT Analytics Platforms']"
4712,Sensors Data,['Other Analytics']
4713,Sensu,"['Container Monitoring', 'Hardware Monitoring', 'Cloud Infrastructure Monitoring', 'Database Monitoring', 'Network Monitoring']"
4714,Sentic Technologies,"['Cross-Channel Advertising', 'Social Media Advertising', 'Display Advertising', 'Search Advertising']"
4715,Sentieo by AlphaSense,['Financial Research']
4716,SentinelOne Singularity Cloud,['Cloud Workload Protection Platforms']
4717,SentinelOne Singularity RemoteOps,['Digital Forensics']
4718,SentricHR,"['Human Resource Management Systems', 'Workforce Management', 'Benefits Administration', 'Core HR', 'Payroll', 'Applicant Tracking Systems (ATS)', 'Training Management Systems']"
4719,Seqera,"['AWS Marketplace', 'Scientific Data Management System (SDMS)', 'Pharma and Biotech']"
4720,Sequel Data Access,['Other Analytics']
4721,Sequel Pro,"['Database Management Systems (DBMS)', 'SQL Integrated Development Environments (IDE)']"
4722,Serand,"['Talent Intelligence', 'Talent Assessment', 'Other Recruiting']"
4723,Seraphic Web Security,"['Browser Isolation', 'Website Security', 'Data Loss Prevention (DLP)']"
4724,SerpApi,['SEO Tools']
4725,Service Pro® Software,['Field Service Management']
4726,ServiceNow - Custom Data Actions,['Genesys AppFoundry Marketplace']
4727,ServiceNow Cloud Observability (formerly LightStep),"['Container Monitoring', 'Application Performance Monitoring (APM)', 'Cloud Infrastructure Monitoring', 'Log Monitoring', 'Enterprise Monitoring', 'Database Monitoring', 'Observability Solution Suites']"
4728,ServiceNow Connector,['Genesys AppFoundry Marketplace']
4729,ServiceNow ESG Management,"['Environmental, Social, and Governance (ESG) Reporting']"
4730,Session,"['Webinar', 'Virtual Event Platforms']"
4731,Sestek Speech Analytics,['Speech Analytics']
4732,Shaip Cloud,"['Data Labeling', 'Data De-Identification', 'Machine Learning Data Catalog']"
4733,ShareDo,['Legal Case Management']
4734,ShareFile Virtual Data Room,['Virtual Data Room']
4735,SharePlex,"['On-Premise Data Integration', 'Data Replication']"
4736,SharePoint Timeline,['Other Design']
4737,ShareVault,['Virtual Data Room']
4738,Sharenote,['Mental Health']
4739,SharpeSoft Estimator,"['Bid Management', 'Construction Estimating']"
4740,Sheetgo,"['Spreadsheets', 'Google Workspace Administration']"
4741,Shelf,['Tool Tracking']
4742,Shift Marketing Automotive,['Automotive Marketing']
4743,Shimadzu LabSolutions,"['LIMS', 'Scientific Data Management System (SDMS)']"
4744,ShipHawk,"['Multicarrier Parcel Management Solutions', 'Freight Management', 'Shipping', 'Warehouse Management']"
4745,ShippingChimp.com,['Last Mile Delivery']
4746,Shipsy,"['3PL', 'Freight Management', 'Supply Chain Visibility', 'Multicarrier Parcel Management Solutions', 'Route Planning', 'Shipping', 'Transportation Management Systems (TMS)', 'Last Mile Delivery']"
4747,Shipyard,"['Reverse ETL', 'DataOps Platforms', 'Big Data Integration Platforms', 'ETL Tools']"
4748,Shivaami,"['Cloud Migration Services', 'Google Consulting Services', 'IT Outsourcing']"
4749,Shoeboxed,['Expense Management']
4750,ShoppingScraper,"['Online Marketplace Optimization Tools', 'Data Extraction', 'Brand Protection']"
4751,Short-me,['URL Shortener']
4752,Shortlyst,"['Talent Intelligence', 'Recruiting Automation']"
4753,Shotstack,['Other Development']
4754,Shoviv Lotus Notes to Office 365 Migration,['File Migration']
4755,ShredIt File Shredder,['Data Destruction']
4756,Shrood BI,['Data Visualization']
4757,Sidecar,"['Social Media Advertising', 'Mobile Advertising', 'Cross-Channel Advertising', 'Search Advertising']"
4758,SifData Alerts,['Sales Intelligence']
4759,Sift,"['Org Chart', 'HR Analytics', 'Employee Engagement']"
4760,Sifted Logistics Intelligence (LI),"['Multicarrier Parcel Management Solutions', 'Supply Chain Visibility', 'Supply Chain Planning', 'Logistics Intelligence']"
4761,Sify Technologies,['VoIP']
4762,Sightfull,"['Revenue Operations \\u0026 Intelligence (RO\\u0026I)', 'Sales Analytics', 'Analytics Platforms']"
4763,Sigma,"['Embedded Business Intelligence', 'Analytics Platforms']"
4764,Signal,"['Identity Resolution', 'Data Management Platform (DMP)', 'Tag Management Systems']"
4765,Signals,"['Account-Based Orchestration Platforms', 'Buyer Intent Data Providers', 'Conversational Support', 'AI Sales Assistant', 'Conversational Marketing', 'Chatbots', 'Bot Platforms', 'Lead Intelligence', 'Visitor Identification', 'Lead Capture', 'Live Chat', 'Sales Intelligence', 'Account-Based Analytics', 'Account Data Management']"
4766,Signals Analytics,['Predictive Analytics']
4767,Signitic,['Email Signature']
4768,Signum.AI,"['Buyer Intent Data Providers', 'Lead Intelligence']"
4769,Sila,"['Remittance \\u0026 Money Transfer', 'Financial Data APIs', 'Payment Gateways']"
4770,SilkStart,['Association Management']
4771,Silobreaker,"['Dark Web Monitoring', 'Threat Intelligence', 'Risk-Based Vulnerability Management']"
4772,Silverbucket,['Resource Management']
4773,Silvertrac Software,['Physical Security']
4774,Silverware,"['Restaurant POS', 'Cloud Kitchen Management', 'Restaurant Business Intelligence \\u0026 Analytics', 'Restaurant Inventory Management', 'Restaurant Management']"
4775,SimCorp Dimension,"['Investment Portfolio Management', 'Real Estate Investment Management']"
4776,SimilarTech,['Competitive Intelligence']
4777,Simon Data,"['Customer Data Platform (CDP)', 'Email Marketing']"
4778,Simplain Vendor Portal,['Retail Management Software']
4779,Simple Signature - Electronic Signatures \u0026 Document Generation for Salesforce,['Salesforce AppExchange Apps']
4780,SimpleDB,"['Database as a Service (DBaaS)', 'Data Replication']"
4781,SimpleHold,['Cryptocurrency Wallets']
4782,SimpleSurvey,['Survey']
4783,SimpleX,['Other Analytics']
4784,Simply Expenses,['Expense Management']
4785,Simply Fleet,['Fleet Maintenance']
4786,Simply Wall St,['Investment Portfolio Management']
4787,Sinequa,['Enterprise Search Software']
4788,SingleStore,"['Real-time Analytic Database', 'Relational Databases', 'Vector Database']"
4789,SiriDB,['Time Series Databases']
4790,Sirius,"['Managed IT Services', 'Cloud Migration Services', 'Artificial Intelligence Consulting', 'ITSM Tool Implementation, Consulting, and Managed Services', 'IBM Security VARs', 'IBM Server VARs', 'IBM Storage VARs', 'Amazon Web Services Channel Partners', 'Vulnerability Assessment Services', 'Network Security Services', 'Managed Security Services (MSSP)', 'IT Compliance Services', 'Data Security Services', 'Application Security Services', 'Internet of Things (IoT) Developers', 'Oracle Database Resellers', 'Oracle Cloud Application Resellers', 'Microsoft Office 365 Resellers', 'Microsoft Dynamics 365 Resellers', 'Microsoft Azure Resellers', 'Adobe Channel Partners', 'Cisco Unified Communications Resellers', 'Cisco Data Center Resellers', 'Cisco Cloud Resellers', 'Other Solution Consulting', 'IT Strategy Consulting', 'Digital Transformation Consulting', 'IoT Consulting Services', 'IoT Implementation Services', 'IoT Security Services', 'AWS Consulting Services']"
4791,Sisense,"['Embedded Business Intelligence', 'Analytics Platforms']"
4792,Sisu,"['Real Estate Activities Management', 'Brokerage Management']"
4793,Site24x7,"['AIOps Platforms', 'Database Monitoring', 'Website Monitoring', 'Cloud Infrastructure Monitoring', 'Cloud Cost Management', 'Network Management Tools', 'IT Alerting', 'Log Analysis', 'Application Performance Monitoring (APM)', 'Network Monitoring', 'Data Center Infrastructure Management (DCIM)', 'Observability Solution Suites']"
4794,SitePlanner,['Contractor Management']
4795,SiteRecording by 500apps,['Customer Journey Mapping']
4796,Sitecore Experience Platform,"['Digital Experience Platforms (DXP)', 'Web Content Management', 'WebOps Platforms']"
4797,Sitetracker,['Capital Project Management']
4798,Sizzle Analytics,['Other Analytics']
4799,Skalin,['Customer Success']
4800,Skemaz,['Data Visualization']
4801,Skillate,"['SAP Store', 'Talent Intelligence', 'Recruiting Automation', 'Applicant Tracking Systems (ATS)']"
4802,Sku IQ,['Inventory Control']
4803,Skupos,"['Retail Execution', 'Retail Analytics', 'Trade Promotion Management']"
4804,SkyGlue,['Other Analytics']
4805,SkyLync,['Other Law Enforcement']
4806,SkyRoster,['Other HR']
4807,Skyjed,['PLM']
4808,SkypeTime,['Workforce Management']
4809,Skyvia,"['iPaaS', 'ETL Tools', 'On-Premise Data Integration', 'Data Replication', 'Reverse ETL', 'Data Extraction', 'Big Data Integration Platforms', 'Data Mapping', 'Cloud Migration']"
4810,Skyvia Backup,['SaaS Backup']
4811,Skyward HRMS,['Workforce Management']
4812,Slack Integration+ for Jira,['Productivity Bots']
4813,Slack to Microsoft Teams Migration,['Cloud Migration']
4814,Slack to Teams Migration,['File Migration']
4815,Sleekr,['Core HR']
4816,Slemma,['Data Visualization']
4817,Slice,['Restaurant Delivery/Takeout']
4818,SlideMight,['Presentation']
4819,Slideform,['Presentation']
4820,Slingshot,"['Marketing Analytics', 'Event Planning', 'Analytics Platforms', 'Project Collaboration']"
4821,Small Library Organizer Pro,['Library Management Systems']
4822,SmarkLabs,['Content Marketing Agencies']
4823,Smart Data Medical Claim Management,['Healthcare Claims Management']
4824,Smart Eye Technology,"['Biometric Authentication', 'Multi-Factor Authentication (MFA)']"
4825,SmartBid,"['Autodesk Construction Cloud Integration Partners', 'Bid Management']"
4826,SmartCAM,['Computer-Aided Manufacturing (CAM)']
4827,SmartConnect,"['Other Cloud Integration', 'E-Commerce Data Integration', 'iPaaS', 'On-Premise Data Integration']"
4828,SmartDocs R5,"['Document Management', 'OCR']"
4829,SmartJobs,"['Recruitment Marketing', 'Programmatic Job Advertising']"
4830,SmartLink,['Global Trade Management']
4831,SmartReach.io,"['Email Tracking', 'Sales Engagement']"
4832,SmartScout,"['Online Marketplace Optimization Tools', 'E-Commerce Analytics', 'Retail Analytics']"
4833,SmartSearch,"['Recruitment Platforms', 'Candidate Relationship Management', 'Recruitment Marketing', 'Applicant Tracking Systems (ATS)', 'Staffing', 'CRM', 'Onboarding']"
4834,SmartSender.io,"['Email Marketing', 'SMS Marketing', 'Push Notification']"
4835,SmartSurvey,['Survey']
4836,Smartbi,['Data Visualization']
4837,Smarter Contact,['SMS Marketing']
4838,Smarter Ecommerce,"['Cross-Channel Advertising', 'Search Advertising', 'Retail Intelligence']"
4839,Smartlead,['Email']
4840,Smartproxy,"['Proxy Network', 'Data Extraction', 'Web Data Providers', 'E-Commerce Analytics']"
4841,Smartwaiver,['E-Signature']
4842,SnapLogic Intelligent Integration Platform (IIP),"['Big Data Integration Platforms', 'iPaaS', 'ETL Tools', 'API Management', 'On-Premise Data Integration']"
4843,SnapMirror Data Replication,"['Server Backup', 'Data Replication']"
4844,Snapchat,['Social Networks']
4845,SnappyData,['Event Stream Processing']
4846,Snare Central,"['Enterprise Monitoring', 'Database Monitoring', 'Log Analysis', 'Security Information and Event Management (SIEM)', 'Log Monitoring']"
4847,Snow Commander,"['Cloud Management Platforms', 'ServiceNow Store Apps', 'Software Asset Management Tools', 'Operational Risk Management', 'Unified Endpoint Management (UEM)', 'Enterprise Mobility Management', 'SAP Store']"
4848,SnowMirror,"['ServiceNow Store Apps', 'Data Replication']"
4849,Snowflake,"['Data Clean Room', 'Columnar Databases', 'Big Data Processing and Distribution', 'Big Data Analytics', 'Database Management Systems (DBMS)', 'Data Warehouse', 'Big Data Integration Platforms']"
4850,Snowflake Data Exchange,"['Data Exchange Platforms', 'Data as a Service (DaaS)']"
4851,Snowplow,"['Product Analytics', 'Big Data Processing and Distribution', 'Digital Analytics', 'Data Governance']"
4852,Social Animal,['Social Media Analytics']
4853,Social Hub.AI,"['Customer Data Platform (CDP)', 'Marketing Automation']"
4854,Social Standards,['Market Intelligence']
4855,SocialNowa,"['Chatbots', 'Conversational Marketing']"
4856,SocialQube,['Social Media Listening Tools']
4857,Sociomantic,['Display Advertising']
4858,Socital,"['Pop-Up Builder', 'E-Commerce Personalization', 'Lead Capture']"
4859,Soda,"['Data Quality', 'Data Observability']"
4860,SoftNAS Cloud NAS,['Enterprise IT Management']
4861,SoftTrace,"['LIMS', 'Other Agriculture', 'Medical QMS', 'Other Laboratory', 'Other Life Sciences', 'MPM and MbM Technology for Process Manufacturing']"
4862,Softchoice Corporation,"['Google Consulting Services', 'HubSpot Consulting Services', 'Microsoft Consulting Services', 'Salesforce Consulting Services', 'Managed IT Services', 'Cloud Migration Services', 'IBM Security VARs', 'IBM Server VARs', 'Vulnerability Assessment Services', 'Network Security Services', 'IT Compliance Services', 'Data Security Services', 'Application Security Services', 'Microsoft Azure Resellers', 'IT Strategy Consulting', 'Digital Transformation Consulting', 'Cloud Consulting', 'AWS Consulting Services']"
4863,Softpro,['Supervisory Control and Data Acquisition (SCADA)']
4864,Software AG Adabas,['Database Management Systems (DBMS)']
4865,Software AG IoT \u0026 Analytics,['Other Product Suites']
4866,Software AG Zementis,['IoT Analytics Platforms']
4867,Software AG webMethods.io B2B,"['Business Activity Monitoring', 'Managed File Transfer (MFT)', 'Big Data Integration Platforms']"
4868,Software AG webMethods.io Integration,"['iPaaS', 'Enterprise Service Bus (ESB)', 'On-Premise Data Integration', 'Cloud Migration']"
